"Time","emission.rate"
1,0.0338507737211398
2,0.0325296025518391
3,0.0341922530975914
4,0.0321210972863884
5,0.0295878216611113
6,0.0376120821020543
7,0.0387846377484069
8,0.0361130604441205
9,0.0226789792298161
10,0.0116045116212867
11,0.00563921192091958
12,0.00289812720719928
13,0.00204611693711508
14,0.00179263678695825
15,0.00197180070671533
16,0.00377673103920509
17,0.0134090747874768
18,0.0502134716160525
19,0.0863144717203035
20,0.119577250003641
21,0.139131339257126
22,0.122062498964236
23,0.0826919179504147
24,0.0594005316388834
